date,Daily_Step_Count
2025-05-09,7188
2025-05-10,13242
2025-05-11,15954
2025-05-12,27456
2025-05-13,23895
2025-05-14,27585
2025-05-15,33576
2025-05-16,25266
2025-05-17,14793
2025-05-18,17985
2025-05-19,29793
2025-05-20,24498
2025-05-21,22293
2025-05-22,23211
2025-05-23,23157
2025-05-24,17577
2025-05-25,18933
2025-05-26,21840
2025-05-27,27480
2025-05-28,19707
2025-05-29,19848
2025-05-30,30429
2025-05-31,14112
2025-06-01,16692
2025-06-02,19629
2025-06-03,19476
2025-06-04,14520
2025-06-05,14922
2025-06-06,7776
2025-06-07,6735
2025-06-08,4272
2025-06-09,4713
2025-06-10,6873
2025-06-11,6042
2025-06-12,10560
2025-06-13,18489
2025-06-14,12987
2025-06-15,41451
2025-06-16,19440
2025-06-17,10038
2025-06-18,9570
2025-06-19,6342
2025-06-20,7068
2025-06-21,3603
2025-06-22,4800
2025-06-23,4947
2025-06-24,2517
2025-06-25,8055
2025-06-26,1500
2025-06-27,8595
2025-06-28,6546
2025-06-29,7848
2025-06-30,8622
2025-07-01,6519
2025-07-02,3273
2025-07-03,1254
2025-07-04,9426
2025-07-05,15003
2025-07-06,13860
2025-07-07,3123
2025-07-08,3846
2025-07-09,3849
2025-07-10,708
2025-07-11,8754
2025-07-12,5055
2025-07-13,8871
2025-07-14,8811
2025-07-15,456
2025-07-16,3978
2025-07-17,4791
2025-07-18,13653
2025-07-19,6273
2025-07-20,10440
2025-07-21,9831
2025-07-22,2775
2025-07-23,9870
2025-07-24,2064
2025-07-25,9615
2025-07-26,9798
2025-07-27,12360
2025-07-28,15924
2025-07-29,2877
2025-07-30,18459
2025-07-31,5058
2025-08-01,14598
2025-08-02,11499
2025-08-03,28041
2025-08-04,38238
2025-08-05,2616
2025-08-06,1044
2025-08-07,3183
2025-08-08,11574
2025-08-09,8739
2025-08-10,18960
2025-08-11,2595
2025-08-12,8862
2025-08-13,7827
2025-08-14,5388
